ID,Preço,Variação,Variação (%),Horário
CTAX3,R$ 0,94,1 dia,22 de jan., 10:57:36 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:51:38
CTSA3,R$ 2,36,1 dia,22 de jan., 10:15:36 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:51:48
CURY3,R$ 33,77,+0,41 Hoje,1,23%,22/01/2026 - 11:51:58
CVCB3,R$ 2,48,+0,080 Hoje,3,33%,22/01/2026 - 11:52:08
CXSE3,R$ 16,96,+0,28 Hoje,1,68%,22/01/2026 - 11:52:18
CYRE3,R$ 27,08,+0,59 Hoje,2,23%,22/01/2026 - 11:52:28
DASA3,R$ 4,14,+0,26 Hoje,6,70%,22/01/2026 - 11:52:38
DESK3,R$ 18,21,-0,17 Hoje,0,92%,22/01/2026 - 11:52:48
DEXP3,R$ 7,40,+0,050 Hoje,0,68%,22/01/2026 - 11:52:57
DIRR3,R$ 13,68,+0,22 Hoje,1,63%,22/01/2026 - 11:53:08
DMVF3,R$ 7,00,0,00 Hoje,0,00%,22/01/2026 - 11:53:17
DOTZ3,R$ 4,14,+0,0100 Hoje,0,24%,22/01/2026 - 11:53:27
DTCY3,R$ 2,95,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:53:37
DXCO3,R$ 5,62,+0,080 Hoje,1,44%,22/01/2026 - 11:53:46
EALT3,R$ 14,50,1 dia,22 de jan., 10:00:00 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:53:56
ECOR3,R$ 11,32,+0,56 Hoje,5,20%,22/01/2026 - 11:54:06
EGIE3,R$ 32,80,+0,49 Hoje,1,52%,22/01/2026 - 11:54:15
EMBJ3,R$ 101,75,+2,06 Hoje,2,07%,22/01/2026 - 11:54:25
ENEV3,R$ 22,24,+0,69 Hoje,3,20%,22/01/2026 - 11:54:35
ENGI3,R$ 13,01,-0,23 Hoje,1,74%,22/01/2026 - 11:54:44
ENJU3,R$ 1,02,-0,010 Hoje,0,97%,22/01/2026 - 11:54:54
ENMT3,R$ 50,60,1 dia,22 de jan., 11:02:13 UTC-3 · BRL · BVMF · Exoneração de responsabilidade,22/01/2026 - 11:55:03
EPAR3,R$ 3,96,+0,020 Hoje,0,51%,22/01/2026 - 11:55:13
EQMA3,1,36%,Voltar ao Google Finanças,arrow_back,22/01/2026 - 11:55:21
