id,Nome
SANB3,Banco Santander (Brasil) S.A.D
SAPR3,Companhia de Saneamento do Parana - SaneparD
SBFG3,Grupo SBF S.A.D
SBSP3,Companhia de Saneamento Basico do Estado de Sao Paulo SABESPD
SCAR3,Sao Carlos Empreendimentos e Participacoes SAD
SEER3,Grupo Ser Educacional SAD
SEQL3,Sequoia Logistica e Transportes SAD
SHOW3,T4F Entretenimento S.A.D
SIMH3,Simpar SAD
SLCE3,SLC Agricola S.A.D
SMFT3,Smartfit Escola de Ginastica e Danca SAD
SMTO3,Sao Martinho S.A.D
SNSY3,Sansuy SA Industria de PlasticosD
SOJA3,Boa Safra Sementes SAD
SOND3,Sondotecnica Engenharia de Solos S.A.D
SUZB3,Suzano S.A.D
SYNE3,Syn Prop e Tech SAD
TAEE3,Transmissora Alianca De Energia Eletrica S.A.D
TASA3,Taurus Armas S.A.D
TCSA3,Tecnisa S.A.D
TECN3,Technos S.A.D
TELB3,Telecomunicacoes Brasileiras SAD
TEND3,Construtora Tenda SAD
TGMA3,Tegma Gestao Logistica S.A.D
TIMS3,TIM S.A.D
TKNO3,Tekno SA Industria e ComercioD
TOKY3,Grupo Toky SAD
TOTS3,TOTVS S.A.D
TPIS3,TPI - Triunfo Participacoes e Investimentos SAD
TRAD3,TC S.A.D
TRIS3,Trisul S.A.D
TTEN3,Tres Tentos Agroindustrial SAD
TUPY3,Tupy S.A.D
UCAS3,Unicasa Industria de Moveis S.A.D
UGPA3,Ultrapar Participacoes S.A.D
UNIP3,Unipar Carbocloro SAD
USIM3,Usinas Siderurgicas de Minas Gerais SA-UsiminasD
VALE3,Vale S.A.D
VAMO3,Vamos Locacao de Caminhoes Maquinas e Equipamentos SAD
VBBR3,Vibra Energia SAD
VITT3,Vittia S.A.D
VIVA3,Vivara Participacoes SAD
VIVR3,Viver Incorporadora e Construtora S.A.D
VIVT3,Telefonica Brasil S.A.D
VLID3,Valid Solucoes SAD
VSTE3,Veste S.A. EstiloD
VTRU3,Vitru Brasil Empreendimentos Participacoes e Comercio S.A.D
VULC3,Vulcabras SAD
VVEO3,CM Hospitalar SAD
WDCN3,Livetech da Bahia Industria e Comercio SAD
WEGE3,WEG SAD
WEST3,Westwing Comercio Varejista SAD
WHRL3,Whirlpool S.A.D
WIZC3,WIZ Co Participacoes e Corretagem de Seguros SAD
WLMM3,WLM Participacoes e Comercio de Maquinas e Veiculos SAD
YDUQ3,YDUQS Participacoes SAD
